tengu_alder_compass	bool	false
tengu_amber_anchor	bool	false
tengu_amber_lark	bool	false
tengu_amber_lynx	bool	false
tengu_amber_packet	bool	false
tengu_amber_prism	bool	false
tengu_amber_quill	bool	false
tengu_amber_redwood2	str	""
tengu_aura_sieve	bool	false
tengu_auto_mode_default_on	bool	false
tengu_basalt_quill	bool	false
tengu_basalt_spur	bool	false
tengu_basalt_sundial	bool	false
tengu_basalt_tern	bool	false
tengu_billiard_aviary	bool	false
tengu_birch_kettle	bool	false
tengu_birthday_hat	bool	false
tengu_blue_coaster	bool	false
tengu_brass_sled	bool	false
tengu_brick_follow	bool	false
tengu_bridge_attestation_enforce	bool	false
tengu_bridge_poll_interval_ms	int	0
tengu_canary	obj	{}
tengu_ccr_post_turn_summary	bool	false
tengu_cedar_halo	bool	false
tengu_cedar_hollow_7m	obj	{}
tengu_cedar_plume	bool	false
tengu_cedar_sundial	bool	false
tengu_chair_sermon	bool	false
tengu_chrome_install_upsell	bool	false
tengu_cinder_plover	str	""
tengu_classifier_disabled_surfaces	str	""
tengu_cloth_snorkel	bool	false
tengu_cobalt_harbor	bool	false
tengu_cobalt_heron	bool	false
tengu_cobalt_plinth_reader_persist	bool	false
tengu_cobalt_thicket	bool	false
tengu_cobalt_wren	bool	false
tengu_copper_fox	bool	false
tengu_copper_meadow	bool	false
tengu_copper_thistle	bool	false
tengu_copper_wren	bool	false
tengu_coral_beacon	bool	false
tengu_coral_fern	bool	false
tengu_cork_lantern	bool	false
tengu_cowork_chrome_automode_default	bool	false
tengu_crimson_echo	obj	{}
tengu_crimson_vector	bool	false
tengu_desktop_upsell_v2	obj	{"enabled": false}
tengu_destructive_command_warning	bool	false
tengu_disable_bypass_permissions_mode	bool	false
tengu_doorbell_agave	bool	false
tengu_drift_lantern	bool	false
tengu_dune_wren	bool	false
tengu_dunwich_bell	bool	false
tengu_ember_latch	bool	false
tengu_event_sampling_config	obj	{}
tengu_feature_claudified_template	bool	false
tengu_feature_template	bool	false
tengu_fennel_kite	bool	false
tengu_fennel_kite_model	str	""
tengu_flax_grouse	bool	false
tengu_fleet_needs_input_nudge	bool	false
tengu_fleet_past_sessions	bool	false
tengu_flint_harbor	bool	false
tengu_flint_harbor_share	bool	false
tengu_frond_boric	obj	{}
tengu_garnet_finch	bool	false
tengu_gha_plugin_code_review	bool	false
tengu_gorse_fathom	bool	false
tengu_gypsum_kite	bool	false
tengu_harbor_willow	bool	false
tengu_hawthorn_steeple	bool	false
tengu_hazel_osprey	bool	false
tengu_herring_clock	bool	false
tengu_ide_rc_auto_enable	bool	false
tengu_idle_amber_finch	bool	false
tengu_immediate_model_command	bool	false
tengu_jade_anvil_4	bool	false
tengu_kairos_github_webhooks	bool	false
tengu_lantern_spool	bool	false
tengu_lapis_anchor_user_turn	bool	false
tengu_lapis_thicket	bool	false
tengu_lichen_compass	bool	false
tengu_lilac_loom	NoneType	null
tengu_linen_osprey	bool	false
tengu_loggia_carousel	bool	false
tengu_loud_sugary_rock	bool	false
tengu_loud_sugary_rock2	bool	false
tengu_lumen_thicket_q7	bool	false
tengu_malformed_tool_use_clean_retry	bool	false
tengu_maple_pier	bool	false
tengu_maple_sundial	bool	false
tengu_maple_tide	bool	false
tengu_marble_lark	bool	false
